Directory of Prequalified Contractors and Registered Subcontractors,,,
,,,
Processed On: Mar-05-2025 12:03,,,
,,,
00000000018989,  J.H. NICKLAS INC,HEATHER NICKLAS,Registered
"Shipping Address: 37 HEARTWOOD DR CARTERSVILLE, GA 30120",,Phone Number: (770)231-2064,
,,,
Email:  HNICKLAS3@GMAIL.COM,,Prequalification Expiration Date:Apr-30-2026,
,,,
Work Class:935  -  FIBER OPTIC SYSTEM,,,
,,,
00000000016470, BROWN PLANNING DESIGN & PROPERTY HOLDINGS LLC,WILLIE BROWN JR,Registered
"Shipping Address: 945 GENE REED RD. BIRMINGHAM, AL 35235",,Phone Number: (205)567-7010,
,,,
Email:  wbrow@yahoo.com,,Prequalification Expiration Date:Dec-31-2021,
,,,
Work Class:700  -  GRASSING,,,
"Work Class:702  -  VINE, SHRUB, AND TREE PLANTING",,,
,,,
2KE271," KELLY CONSTRUCTION CO., INC.",ROBERT A. KELLY,Registered
"Shipping Address: 5350 OLD FLOYD ROAD MABLETON, GA 30126",,Phone Number: (770)948-6934,
"Mailing Address: 5350 OLD FLOYD ROAD MABLETON, GA 30126",,,
,,Fax Number: (770)948-6788 ,
,,,
,,,
Email:  ROBERT.KELLY@KCCICONSTRUCTION.COM,,Prequalification Expiration Date:Feb-28-2027,
,,,
Work Class:201  -  CLEARING AND GRUBBING RIGHT OF WAY,,,
Work Class:205  -  ROADWAY EXCAVATION,,,
Work Class:205a  -  HAULING SOIL WITHIN THE PROJECT,,,
Work Class:206a  -  HAULING SOIL TO THE PROJECT,,,
Work Class:209  -  SUBGRADE CONSTRUCTION,,,
Work Class:310  -  GRADED AGGREGATE CONSTRUCTION,,,
Work Class:310a  -  HAULING GAB,,,
Work Class:400a  -  HAULING ASPHALTIC CONCRETE MIX,,,
Work Class:432a  -  HAULING MILLINGS,,,
"Work Class:603a  -  HAULING RIP RAP TO PROJECT, ALL SIZES",,,
Work Class:800a  -  HAULING AGGREGATE,,,
,,,
00000000017008, KEMET SOLUTIONS LLC,STARLA MICHAEL,Registered
